Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
1153,"Brandt, Heinrich Wilhelm",Brandt Heinrich Wilhelm,Brandt,Heinrich Wilhelm,19. April 1871
1154,"Branitz, Franziska",Branitz Franziska,Branitz,Franziska,.
1155,"Brann, Julius",Brann Julius,Brann,Julius,10. Febr.1869
1156,"Brantl, Maximilian",Brantl Maximilian,Brantl,Maximilian,19. Novbr. 1881
1157,"Brasch, Paul",Brasch Paul,Brasch,Paul,20. Febr.1871
1158,"Braß, August",Braß August,Braß,August,30. Juli 1818
1159,"Brassel, Johannes",Brassel Johannes,Brassel,Johannes,6. Mai1848
1160,"Brauer, Eduard",Brauer Eduard,Brauer,Eduard,2. Novbr.1811
1161,"Brauer, Emma",Brauer Emma,Brauer,Emma,.
1162,"Brauer, Frieda",Brauer Frieda,Brauer,Frieda,4. Juni 1865
1163,"Brauer, Max",Brauer Max,Brauer,Max,9. Febr.1860
1164,"Braun, Felix",Braun Felix,Braun,Felix,4. Novbr.1885
1165,"Braun, Friedrich von",Braun Friedrich,Braun,Friedrich,18. Novbr. 1850
1166,"Braun, Gustav",Braun Gustav,Braun,Gustav,.
1167,"Braun, Joseph",Braun Joseph,Braun,Joseph,3. Februar1823
1168,"Braun, Karl Joseph Eduard",Braun Karl Joseph Eduard,Braun,Karl Joseph Eduard,24. August 1818
1169,"Braun, Jsabella",Braun Jsabella,Braun,Jsabella,12.Dezbr. 1815
1170,"Braun, Julius W",Braun Julius W,Braun,Julius W,28. November 1843
1171,"Braun, Karl",Braun Karl,Braun,Karl, März 1822
1172,"Braun, Elisabeth Johanne Karoline",Braun Elisabeth Johanne Karoline,Braun,Elisabeth Johanne Karoline,9. Juni 1900
1173,"Braun, Johann Otto Philipp",Braun Johann Otto Philipp,Braun,Johann Otto Philipp,1. August 1824
1174,"Braun, P",Braun P,Braun,P,4. Juli 1864
1175,"Braun, Rosalie",Braun Rosalie,Braun,Rosalie,22. Juli 1869
1176,"Braun, Valentin",Braun Valentin,Braun,Valentin,.
1177,"Braun(-Steinmann), Hedwig",Braun Hedwig,Braun,Hedwig,7. Jan. 1843
1178,"Braun, Ritter von Braunthal, Karl Johann",Braun Karl Johann,Braun,Karl Johann,26. November 1866
1179,"Braune (seit 1902: BrauneRoßla), Rudolf",Braune Rudolf,Braune,Rudolf, April 1904
1180,"Braungart, Karl Anton Richard",Braungart Karl Anton Richard,Braungart,Karl Anton Richard,19. Februar 1872
1181,"Braunmüller, Gustav",Braunmüller Gustav,Braunmüller,Gustav,.
1182,"Brauns, Emma C. W",Brauns Emma C. W,Brauns,Emma C. W,Juli 1861
1183,"Brausewetter, Arthur Friedrich Leon",Brausewetter Arthur Friedrich Leon,Brausewetter,Arthur Friedrich Leon,27. März 1864
1184,"Brausewetter, Ernst",Brausewetter Ernst,Brausewetter,Ernst,2. Juni 1863
1185,"Bräutigam, Johann Ludwig",Bräutigam Johann Ludwig,Bräutigam,Johann Ludwig,12. Jan. 1852
1186,"Brawe, Hans Nagel von",Brawe Hans Nagel,Brawe,Hans Nagel,.
1187,"Brecher, Adolf",Brecher Adolf,Brecher,Adolf,4. April1831
1188,Brecht (von Brechtenberg,Brecht,Brecht ,,20. März 1805
1189,"Breckheyde, C. von",Breckheyde C.,Breckheyde,C.,.
1190,"Breden, Christine von",Breden Christine,Breden,Christine,19. Mai1901
1191,"Bredenbrücker, Richard",Bredenbrücker Richard,Bredenbrücker,Richard,5. Jan. 1848
1192,"Bredow-Goerne, Adele Elisa Gräfin von",Bredow-Goerne Adele Elisa,Bredow-Goerne,Adele Elisa,12. Dezbr. 1830
1193,"Bredow, Georg Heinrich Eduard Freiherr von",Bredow Georg Heinrich Eduard,Bredow,Georg Heinrich Eduard,31. Juli 1810
1194,"Bredow, Wusso Graf von",Bredow Wusso,Bredow,Wusso,3. Novbr. 1856
1195,"Bredt, Friedrich Wilhelm",Bredt Friedrich Wilhelm,Bredt,Friedrich Wilhelm,9. Mai 1863
1196,"Bredt, Viktor Richard",Bredt Viktor Richard,Bredt,Viktor Richard,2. Juni 1849
1197,"Brée, M",Brée M,Brée,M,23. April 1842
1198,"Brehmer-Gaffron, Antonie",Brehmer-Gaffron Antonie,Brehmer-Gaffron,Antonie,28. Mai 1833
1199,"Brehmer, Arthur",Brehmer Arthur,Brehmer,Arthur,.
1200,"Breidenbach, Emilie v",Breidenbach Emilie,Breidenbach,Emilie,7. Jan. 1838
1201,"Breier, Eduard",Breier Eduard,Breier,Eduard,3. Novbr.1811
1202,"Breitenbach, Clemens",Breitenbach Clemens,Breitenbach,Clemens,19. März 1864
1203,"Breitenstein, Jonas",Breitenstein Jonas,Breitenstein,Jonas,22.August 1828
1204,"Breithaupt, Adolfine",Breithaupt Adolfine,Breithaupt,Adolfine,24. Juli 1829
1205,"Breitner, Anton",Breitner Anton,Breitner,Anton,18. März1858
1206,"Breitner, Burghard",Breitner Burghard,Breitner,Burghard,10. Juni 1884
1207,"Breitschwert, Adolf",Breitschwert Adolf,Breitschwert,Adolf,19. Dezbr. 1824
1208,"Breitschwert, Otto Ludwig von",Breitschwert Otto Ludwig,Breitschwert,Otto Ludwig,14. August 1836
1209,"Breitung, Max",Breitung Max,Breitung,Max,.
1210,"Breitzmann, Agnes",Breitzmann Agnes,Breitzmann,Agnes,. Mai 1841
1211,"Brekenfeld, Hermann",Brekenfeld Hermann,Brekenfeld,Hermann,7. Juni 1834
1212,"Brendel, Friedrich Wilhelm",Brendel Friedrich Wilhelm,Brendel,Friedrich Wilhelm,21. Febr. 1825
1213,"Brenkendorf, Lothar",Brenkendorf Lothar,Brenkendorf,Lothar,.
