Original,Name Vorname,Name,Vorname,Titel,Sonstiges
"Seisl, Marie",Seisl Marie,Seisl,Marie,,
"Seitz-Heyl, Frau Anna",Seitz-Heyl Anna,Seitz-Heyl,Anna,Frau,
"Seitz-Hückstädt, Frau Sophie",Seitz-Hückstädt Sophie,Seitz-Hückstädt,Sophie,Frau,
"Seitz, Lisette",Seitz Lisette,Seitz,Lisette,,
"Selbig, Elise",Selbig Elise,Selbig,Elise,,
"Selbig, Natalie",Selbig Natalie,Selbig,Natalie,,
"Selbst, Wolfgang",Selbst Wolfgang,Selbst,Wolfgang,,
"Selden, Camilla",Selden Camilla,Selden,Camilla,,
"Seldt, Amalie v",Seldt Amalie,Seldt,Amalie,,v
"Selenka, Lenore u. Emil",Selenka Emil u. Lenore,Selenka,Emil u. Lenore,,
"Seler, Frau Dr. Cäcilie",Seler Cäcilie,Seler,Cäcilie,Frau Dr.,
"Seleskowitz, Louise",Seleskowitz Louise,Seleskowitz,Louise,,
"Selhorst, Frau Marie",Selhorst Marie,Selhorst,Marie,Frau,
"Sell, Freiin Lulu v",Sell Lulu,Sell,Lulu,Freiin,v
"Sell, Frl. Maria",Sell Maria,Sell,Maria,Frl.,
"Sell, Frl. Sophie Charlotte v",Sell Sophie Charlotte,Sell,Sophie Charlotte,Frl.,v
"Sellheim, Mary",Sellheim Mary,Sellheim,Mary,,
Selma,Selma,Selma,,,
"Seltenreich, Emma",Seltenreich Emma,Seltenreich,Emma,,
"Sema, S",Sema S,Sema,S,,
"Semmig, Frl. Jeanne Bertha",Semmig Bertha Jeanne,Semmig,Bertha Jeanne,Frl.,
"Semsey de Semse, Frau Hermine v",Semsey de Semse Hermine,Semsey de Semse,Hermine,Frau,v
"Senden, A. v",Senden A.,Senden,A.,,v
"Sendtner, Barbara",Sendtner Barbara,Sendtner,Barbara,,
"Senga, Auguste",Senga Auguste,Senga,Auguste,,
"Senger, Emma",Senger Emma,Senger,Emma,,
"Senger, Pauline",Senger Pauline,Senger,Pauline,,
"Senten, A",Senten A,Senten,A,,
"Serano, Ada",Serano Ada,Serano,Ada,,
Serena,Serena,Serena,,,
"Serkowitz, Louise",Serkowitz Louise,Serkowitz,Louise,,
"Sermage, Gräfin Sanda",Sermage Sanda,Sermage,Sanda,Gräfin,
"Sermes, Frl. Carla",Sermes Carla,Sermes,Carla,Frl.,
"Setmor, Christiane",Setmor Christiane,Setmor,Christiane,,
"Seuron, Frau Anna",Seuron Anna,Seuron,Anna,Frau,
"Seuss, Auguste, Wien",Seuss Wien,Seuss,Wien,,
"Severin, J",Severin J,Severin,J,,
"Sewell, Anna",Sewell Anna,Sewell,Anna,,
"Sewell, Elis",Sewell Elis,Sewell,Elis,,
"Seyffert, Anna",Seyffert Anna,Seyffert,Anna,,
"Seyfried, Else",Seyfried Else,Seyfried,Else,,
"Seyler, Sophie Friederike",Seyler Sophie Friederike,Seyler,Sophie Friederike,,
"Seyssel d'Aix, Gräfin Camilla v",Seyssel d'Aix Camilla,Seyssel d'Aix,Camilla,Gräfin,v
"Seyth, Adyr",Seyth Adyr,Seyth,Adyr,,
"Shipton, Anna",Shipton Anna,Shipton,Anna,,
"Sibylla, Herzogin v. Jülich-Cleve-Berg",Sibylla Jülich-Cleve-Berg,Sibylla,Jülich-Cleve-Berg,Herzogin,v.
"Sichart v. Sichartshoff, Frl. Sophie von",Sichart v. Sichartshoff Sophie,Sichart v. Sichartshoff,Sophie,Frl.,von
"Sickenberger, Frl. Therese",Sickenberger Therese,Sickenberger,Therese,Frl.,
Siddy,Siddy,Siddy,,,
"Sidna, L",Sidna L,Sidna,L,,
"Siebe, Josephine",Siebe Josephine,Siebe,Josephine,,
"Siebelt, Frl. Agnes",Siebelt Agnes,Siebelt,Agnes,Frl.,
"Siebenlist, Frl. Ottilie",Siebenlist Ottilie,Siebenlist,Ottilie,Frl.,
"Sieber, Elisabeth",Sieber Elisabeth,Sieber,Elisabeth,,
"Siebert, Anna",Siebert Anna,Siebert,Anna,,
"Siebert, Margareta",Siebert Margareta,Siebert,Margareta,,
"Siebold, M. Th. Charl. v",Siebold M. Th. Charl.,Siebold,M. Th. Charl.,,v
"Siecke, Frl. Hedwig",Siecke Hedwig,Siecke,Hedwig,Frl.,
"Sieckmann, Margarethe",Sieckmann Margarethe,Sieckmann,Margarethe,,
"Siedenburg, Anna",Siedenburg Anna,Siedenburg,Anna,,
"Siedler, Frl. Johanna",Siedler Johanna,Siedler,Johanna,Frl.,
"Siedler, Johanna",Siedler Johanna,Siedler,Johanna,,
"Siedler, Sophie",Siedler Sophie,Siedler,Sophie,,
"Siedmogrodzka, Frl. Henriette von",Siedmogrodzka Henriette,Siedmogrodzka,Henriette,Frl.,von
Sieg der Liebe,Sieg der Liebe,Sieg der Liebe,,,
"Siegel, Anna",Siegel Anna,Siegel,Anna,,
"Sieger, Anna Irene",Sieger Anna Irene,Sieger,Anna Irene,,
"Siegfried, J",Siegfried J,Siegfried,J,,
"Siegl, Katharina",Siegl Katharina,Siegl,Katharina,,
"Siemerling, Therese",Siemerling Therese,Siemerling,Therese,,
"Siercke, Frl. Adolphine",Siercke Adolphine,Siercke,Adolphine,Frl.,
"Siess, Frau Anna",Siess Anna,Siess,Anna,Frau,
"Sieveking, Amalie Wilhelmine",Sieveking Amalie Wilhelmine,Sieveking,Amalie Wilhelmine,,
"Sieveking, Elise",Sieveking Elise,Sieveking,Elise,,
"Sievert, Auguste",Sievert Auguste,Sievert,Auguste,,
"Sievert-Kleemann, Frau Charlotte",Sievert-Kleemann Charlotte,Sievert-Kleemann,Charlotte,Frau,
"Sigert, Louise, Wien",Sigert Wien,Sigert,Wien,,
"Siking, Franz",Siking Franz,Siking,Franz,,
"Siking, Franz",Siking Franz,Siking,Franz,,
Silesia,Silesia,Silesia,,,
"Silesius, Gerth",Silesius Gerth,Silesius,Gerth,,
"Silling, Frl. Marie Elise",Silling Elise Marie,Silling,Elise Marie,Frl.,
"Silva, E. da",Silva E.,Silva,E.,,da
Silvia,Silvia,Silvia,,,
"Silvia, Andrea",Silvia Andrea,Silvia,Andrea,,
"Simon, Anna",Simon Anna,Simon,Anna,,
"Simon, Frau Antonie",Simon Antonie,Simon,Antonie,Frau,
"Simon, Emma",Simon Emma,Simon,Emma,,
"Simon, Helene",Simon Helene,Simon,Helene,,
"Simon, Frl. Margarete",Simon Margarete,Simon,Margarete,Frl.,
"Simon, Marie",Simon Marie,Simon,Marie,,
"Simson, Anna",Simson Anna,Simson,Anna,,
"Singolt, Th",Singolt Th,Singolt,Th,,
"Sinnhold, Philippine",Sinnhold Philippine,Sinnhold,Philippine,,
"Sintenis, Frau Elsbeth",Sintenis Elsbeth,Sintenis,Elsbeth,Frau,
"Sintenis, S",Sintenis S,Sintenis,S,,
"Sirk, Ida",Sirk Ida,Sirk,Ida,,
"Skepsgardh, Angelika von",Skepsgardh Angelika,Skepsgardh,Angelika,,von
"Skram, A",Skram A,Skram,A,,
"Sloët, Leon",Sloët Leon,Sloët,Leon,,
"Sloman, E",Sloman E,Sloman,E,,
"Smissen, E. van der",Smissen E.,Smissen,E.,,van der
"Smith, Julie von",Smith Julie,Smith,Julie,,von
"Smreker, Frau Luise",Smreker Luise,Smreker,Luise,Frau,
"Snellen, Agatha",Snellen Agatha,Snellen,Agatha,,
"Sobe, Johanna",Sobe Johanna,Sobe,Johanna,,
"Sochatzy, Fanny",Sochatzy Fanny,Sochatzy,Fanny,,
"Soden, Frl. Eugenie von",Soden Eugenie,Soden,Eugenie,Frl.,von
"Sodenstern, Frau Eveline v",Sodenstern Eveline,Sodenstern,Eveline,Frau,v
"Soemmering, Frau Sophie",Soemmering Sophie,Soemmering,Sophie,Frau,
"Sohr, Amélie",Sohr Amélie,Sohr,Amélie,,
"Sökeland, Paula",Sökeland Paula,Sökeland,Paula,,
"Solger, Frau Maria Christine",Solger Christine Maria,Solger,Christine Maria,Frau,
"Solina, Maria",Solina Maria,Solina,Maria,,
"Solms-Rödelheim, verw. Gräfin Mathilde zu",Solms-Rödelheim Mathilde,Solms-Rödelheim,Mathilde,verw. Gräfin,zu
"Solms Wildenfels Laubach, Elis. Charl. Ferdinande Reichsgräfin v",Solms Wildenfels Laubach Elis. Charl. Ferdinande,Solms Wildenfels Laubach,Elis. Charl. Ferdinande,Reichsgräfin,v
"Söllner, Frl. Ottilie",Söllner Ottilie,Söllner,Ottilie,Frl.,
"Soltau, Emilie",Soltau Emilie,Soltau,Emilie,,
"Soltmann, Amalie",Soltmann Amalie,Soltmann,Amalie,,
"Solvejgs, Christiane",Solvejgs Christiane,Solvejgs,Christiane,,
"Sommer, Frl. Anna",Sommer Anna,Sommer,Anna,Frl.,
"Sommer, Clara",Sommer Clara,Sommer,Clara,,
"Sommer, Elise",Sommer Elise,Sommer,Elise,,
"Sommer, Frau Helene",Sommer Helene,Sommer,Helene,Frau,
"Sommer, Frau Margarete",Sommer Margarete,Sommer,Margarete,Frau,
"Sommerfeld, Annie",Sommerfeld Annie,Sommerfeld,Annie,,
"Sommerfeld von Scheve, Frau Marie",Sommerfeld von Scheve Marie,Sommerfeld von Scheve,Marie,Frau,
"Sonnenthal, Frl. Hermine v",Sonnenthal Hermine,Sonnenthal,Hermine,Frl.,v
"Sonnet, Marie",Sonnet Marie,Sonnet,Marie,,
"Sonntag, Hans",Sonntag Hans,Sonntag,Hans,,
"Sonntag, Leo",Sonntag Leo,Sonntag,Leo,,
"Sontowsky, Johanna",Sontowsky Johanna,Sontowsky,Johanna,,
Sophie Charlotte,Sophie Charlotte,,Sophie Charlotte,,
"Sophie, Tante",Sophie,,Sophie,,Tante
Sophie-Wilhelmine,Sophie-Wilhelmine,Sophie-Wilhelmine,,,
"Sostmann, Anna Wilhelmine Elise",Sostmann Wilhelmine Anna Elise,Sostmann,Wilhelmine Anna Elise,,
"Sostmann, Anna Wilhelmine Luise",Sostmann Wilhelmine Anna Luise,Sostmann,Wilhelmine Anna Luise,,
"Soyaux, Frau Frida",Soyaux Frida,Soyaux,Frida,Frau,
"Spangenberg, Dorothee Charl. Elis",Spangenberg Dorothee Charl. Elis,Spangenberg,Dorothee Charl. Elis,,
"Spangenberg, Pauline",Spangenberg Pauline,Spangenberg,Pauline,,
"Spann, Frl. Martha",Spann Martha,Spann,Martha,Frl.,
"Spann-Weber, Thekla",Spann-Weber Thekla,Spann-Weber,Thekla,,
"Späth, Charlotte",Späth Charlotte,Späth,Charlotte,,
"Spättgen, Doris, Freiin von",Spättgen Freiin von,Spättgen,Freiin von,,
"Spaur, Gräfin Therese von",Spaur Therese,Spaur,Therese,Gräfin,von
"Specht, Constanze von",Specht Constanze,Specht,Constanze,,von
"Specker, Caroline",Specker Caroline,Specker,Caroline,,
"Spela, Anka",Spela Anka,Spela,Anka,,
"Speth, Anna",Speth Anna,Speth,Anna,,
"Speyer, Mathilde",Speyer Mathilde,Speyer,Mathilde,,
"Speyer, R",Speyer R,Speyer,R,,
"Spier, Frau Anna",Spier Anna,Spier,Anna,Frau,
"Spies, Hermine",Spies Hermine,Spies,Hermine,,
"Spitzeder, Adele",Spitzeder Adele,Spitzeder,Adele,,
"Spliedt, E",Spliedt E,Spliedt,E,,
"Spolz, Anna",Spolz Anna,Spolz,Anna,,
"Sponheim, Hildegard, Gräfin von",Sponheim Hildegard,Sponheim,Hildegard,Gräfin,von
"Sponner-Wendt, Frau Irene Clara",Sponner-Wendt Clara Irene,Sponner-Wendt,Clara Irene,Frau,
"Spörlin, Margarete",Spörlin Margarete,Spörlin,Margarete,,
"Sprengel, Auguste",Sprengel Auguste,Sprengel,Auguste,,
"Sprengel, Frl. Clementine",Sprengel Clementine,Sprengel,Clementine,Frl.,
"Spreu, Emilie",Spreu Emilie,Spreu,Emilie,,
"Springer, Frl. Marie",Springer Marie,Springer,Marie,Frl.,
"Springorum, Frau Wwe. Emma",Springorum Emma,Springorum,Emma,Frau,Wwe.
"Spyri, Frau Johanna",Spyri Johanna,Spyri,Johanna,Frau,
"Staacke, Frl. Ida",Staacke Ida,Staacke,Ida,Frl.,
"Stackelberg, Freiin Natalie von",Stackelberg Natalie,Stackelberg,Natalie,Freiin,von
"Stadelmann, Frau Marie",Stadelmann Marie,Stadelmann,Marie,Frau,
"Stadler, Gabriele",Stadler Gabriele,Stadler,Gabriele,,
"Stadlin, Josephine",Stadlin Josephine,Stadlin,Josephine,,
"Stadthagen, Frau Luise",Stadthagen Luise,Stadthagen,Luise,Frau,
"Staël-Holstein, Freifrau Lucie v",Staël-Holstein Lucie,Staël-Holstein,Lucie,Freifrau,v
"Staffel, Margarete von",Staffel Margarete,Staffel,Margarete,,von
"Stägemann, Elisabeth",Stägemann Elisabeth,Stägemann,Elisabeth,,
"Stahl, Arthur",Stahl Arthur,Stahl,Arthur,,
"Stahl, Karol",Stahl Karol,Stahl,Karol,,
"Stahl, Laura",Stahl Laura,Stahl,Laura,,
"Stahl, Marie",Stahl Marie,Stahl,Marie,,
"Stahlwart, M",Stahlwart M,Stahlwart,M,,
"Stahr, Fanny",Stahr Fanny,Stahr,Fanny,,
"Stambke, Mathilde v",Stambke Mathilde,Stambke,Mathilde,,v
"Starker, Elise",Starker Elise,Starker,Elise,,
"Starkowski, Frl. Emma",Starkowski Emma,Starkowski,Emma,Frl.,
"Staufen (Staufer), Fr",Staufen Fr,Staufen,Fr,,(Staufer)
"Stedern, Helene v",Stedern Helene,Stedern,Helene,,v
"Steen, Frl. Anna",Steen Anna,Steen,Anna,Frl.,
"Steen, Anna",Steen Anna,Steen,Anna,,
"Steen, Anna",Steen Anna,Steen,Anna,,
"Steffahny, Hermine",Steffahny Hermine,Steffahny,Hermine,,
"Steffens, Clara Emma",Steffens Emma Clara,Steffens,Emma Clara,,
"Stege, Margarete",Stege Margarete,Stege,Margarete,,
"Stegmann, Anna",Stegmann Anna,Stegmann,Anna,,
"Stegmüller, Fanny",Stegmüller Fanny,Stegmüller,Fanny,,
"Stein, A",Stein A,Stein,A,,
"Stein, A",Stein A,Stein,A,,
"Stein, Agnes W",Stein W Agnes,Stein,W Agnes,,
"Stein, Anna",Stein Anna,Stein,Anna,,
"Stein, Charl. Albertine Ernestine Freifrau v",Stein Ernestine Albertine Charl.,Stein,Ernestine Albertine Charl.,Freifrau,v
"Stein, Erika",Stein Erika,Stein,Erika,,
"Stein, Frida",Stein Frida,Stein,Frida,,
"Stein, Friedr",Stein Friedr,Stein,Friedr,,
"Stein, Marie",Stein Marie,Stein,Marie,,
"Stein, Marius",Stein Marius,Stein,Marius,,
"Stein, Max",Stein Max,Stein,Max,,
"Stein, Frau Mizi",Stein Mizi,Stein,Mizi,Frau,
Stein-Kochberg,Stein-Kochberg,Stein-Kochberg,,,
"Stein-Nordheim, Baronin Elisa von",Stein-Nordheim Elisa,Stein-Nordheim,Elisa,Baronin,von
"Stein, Frau Ottilie",Stein Ottilie,Stein,Ottilie,Frau,
"Stein, Paul",Stein Paul,Stein,Paul,,
"Stein, Paul",Stein Paul,Stein,Paul,,
"Stein, Sophie",Stein Sophie,Stein,Sophie,,
"Stein, W",Stein W,Stein,W,,
"Stein, Wally",Stein Wally,Stein,Wally,,
"Stein, Wilhelmine",Stein Wilhelmine,Stein,Wilhelmine,,
"Steinau, A",Steinau A,Steinau,A,,
"Steinau, Charlotte",Steinau Charlotte,Steinau,Charlotte,,
"Steinau, Erwin von",Steinau Erwin,Steinau,Erwin,,von
"Steinau, Hedwig",Steinau Hedwig,Steinau,Hedwig,,
"Steinau, Henriette",Steinau Henriette,Steinau,Henriette,,
"Steinau, Malwine von",Steinau Malwine,Steinau,Malwine,,von
"Steinberg, Vera von",Steinberg Vera,Steinberg,Vera,,von
"Steinborn, Elisabeth von",Steinborn Elisabeth,Steinborn,Elisabeth,,von
"Steinbrecher, Christiane",Steinbrecher Christiane,Steinbrecher,Christiane,,
"Steindl, Rosa Edle von Tannenwald",Steindl Rosa,Steindl,Rosa,Edle von Tannenwald,
"Steineck, Hans von",Steineck Hans,Steineck,Hans,,von
"Steiner, Olga [1",Steiner Olga,Steiner,Olga,,
"Steinfried, F",Steinfried F,Steinfried,F,,
"Steinitz, Frau Clara",Steinitz Clara,Steinitz,Clara,Frau,
"Steiner, Olga [2",Steiner Olga,Steiner,Olga,,
"Steinitz, Frl. Franziska",Steinitz Franziska,Steinitz,Franziska,Frl.,
"Steinkeller, Frl. Marie v",Steinkeller Marie,Steinkeller,Marie,Frl.,v
"Steinlein, Laura",Steinlein Laura,Steinlein,Laura,,
"Steinmann, Agnes",Steinmann Agnes,Steinmann,Agnes,,
"Steinrück, Frau Melanie",Steinrück Melanie,Steinrück,Melanie,Frau,
"Steinsdorfer, Frau Mathilde",Steinsdorfer Mathilde,Steinsdorfer,Mathilde,Frau,
"Stele, Ida",Stele Ida,Stele,Ida,,
"Stella, Anny",Stella Anny,Stella,Anny,,
"Stellmacher, Käthe",Stellmacher Käthe,Stellmacher,Käthe,,
"Stelzmüller, Maria Louise",Stelzmüller Louise Maria,Stelzmüller,Louise Maria,,
"Stengel, Franziska v",Stengel Franziska,Stengel,Franziska,,v
"Stengel, Franziska v",Stengel Franziska,Stengel,Franziska,,v
"Stenglin, Alexandra, Freiin von",Stenglin Freiin von,Stenglin,Freiin von,,
"Stenzinger-Hillardt, Frau Gabriele",Stenzinger-Hillardt Gabriele,Stenzinger-Hillardt,Gabriele,Frau,
"Stephan, E",Stephan E,Stephan,E,,
"Stephan, Frl. Marie",Stephan Marie,Stephan,Marie,Frl.,
"Stephanie, Kronprinzessin Wwe. von Österreich",Stephanie,,Stephanie,,Kronprinzessin Wwe. von Österreich
"Stern, Anna",Stern Anna,Stern,Anna,,
"Stern, Detlef",Stern Detlef,Stern,Detlef,,
"Stern, E. von",Stern E.,Stern,E.,,von
"Stern, Emilie",Stern Emilie,Stern,Emilie,,
"Stern, Frl. Gisela",Stern Gisela,Stern,Gisela,Frl.,
"Stern, Katharina",Stern Katharina,Stern,Katharina,,
"Stern, Otto",Stern Otto,Stern,Otto,,
"Sternau, Louise",Sternau Louise,Sternau,Louise,,
"Sternau, Marie von",Sternau Marie,Sternau,Marie,,von
"Sternau, Mathilde",Sternau Mathilde,Sternau,Mathilde,,
"Sternau, Willy v",Sternau Willy,Sternau,Willy,,v
"Sternberg, A. v",Sternberg A.,Sternberg,A.,,v
"Stetina, Ant",Stetina Ant,Stetina,Ant,,
"Steudel, Elise",Steudel Elise,Steudel,Elise,,
"Stevens, Marianne Wilh. v",Stevens Wilh. Marianne,Stevens,Wilh. Marianne,,v
"Stevesand, Wilh. v",Stevesand Wilh.,Stevesand,Wilh.,,v
"Stewart, Agnes M",Stewart M Agnes,Stewart,M Agnes,,
"Stichling, Louise Charl. Theodore Amalie",Stichling Louise Theodore Amalie Charl.,Stichling,Louise Theodore Amalie Charl.,,
"Stiefel, Maria",Stiefel Maria,Stiefel,Maria,,
"Stiefenhofer, Frau Rosine",Stiefenhofer Rosine,Stiefenhofer,Rosine,Frau,
"Stieff, Henriette",Stieff Henriette,Stieff,Henriette,,
"Stielow, Marie",Stielow Marie,Stielow,Marie,,
"Stilke, Hermine",Stilke Hermine,Stilke,Hermine,,
"Still, Henriette",Still Henriette,Still,Henriette,,
"Stille, Elisabeth",Stille Elisabeth,Stille,Elisabeth,,
"Stille, Karoline",Stille Karoline,Stille,Karoline,,
"Stillfried, Eugenie",Stillfried Eugenie,Stillfried,Eugenie,,
"Stinde, Conradine",Stinde Conradine,Stinde,Conradine,,
"Stirn-Nivière, Frau Anna",Stirn-Nivière Anna,Stirn-Nivière,Anna,Frau,
"Stirner, Ernst",Stirner Ernst,Stirner,Ernst,,
"Stobbe, Frau Ulrike Emilie",Stobbe Ulrike Emilie,Stobbe,Ulrike Emilie,Frau,
"Stock, Clara",Stock Clara,Stock,Clara,,
"Stock, Ottilie",Stock Ottilie,Stock,Ottilie,,
"Stöckel, Anna",Stöckel Anna,Stöckel,Anna,,
"Stöckel, Elisabeth",Stöckel Elisabeth,Stöckel,Elisabeth,,
"Stöcker, Helene",Stöcker Helene,Stöcker,Helene,,
"Stöckert, Frl. Fanny",Stöckert Fanny,Stöckert,Fanny,Frl.,
"Stöckhardt, Johanna",Stöckhardt Johanna,Stöckhardt,Johanna,,
"Stockhausen, Freifrau Anna v",Stockhausen Anna,Stockhausen,Anna,Freifrau,v
"Stockhausen, Fanny",Stockhausen Fanny,Stockhausen,Fanny,,
"Stockhausen, Marie",Stockhausen Marie,Stockhausen,Marie,,
"Stöckl, Elise",Stöckl Elise,Stöckl,Elise,,
"Stoffella d'alta Rupe, Marie v",Stoffella d'alta Rupe Marie,Stoffella d'alta Rupe,Marie,,v
"Stoephasius, Marie",Stoephasius Marie,Stoephasius,Marie,,
"Stöger, Anna",Stöger Anna,Stöger,Anna,,
"Stöhr, Loni",Stöhr Loni,Stöhr,Loni,,
"Stökl, Frau Helene",Stökl Helene,Stökl,Helene,Frau,
"Stökl, Helene",Stökl Helene,Stökl,Helene,,
"Stokmans, Gertrud v",Stokmans Gertrud,Stokmans,Gertrud,,v
"Stolberg, Henriette Luise Juliane, Gräfin zu",Stolberg Gräfin zu,Stolberg,Gräfin zu,,
"Stolberg, Julie Agnes Emilie, Gräfin zu",Stolberg Gräfin zu,Stolberg,Gräfin zu,,
"Stolberg-Stolberg, Henriette Katharine, Gräfin v",Stolberg-Stolberg Gräfin v,Stolberg-Stolberg,Gräfin v,,
"Stolberg-Stolberg, Gräfin Luise zu",Stolberg-Stolberg Luise,Stolberg-Stolberg,Luise,Gräfin,
"Stolle, Frau Rose",Stolle Rose,Stolle,Rose,Frau,
"Stolterfoth, Adelheid Karoline Wilhelmine Julie v",Stolterfoth Karoline Wilhelmine Julie Adelheid,Stolterfoth,Karoline Wilhelmine Julie Adelheid,,v
"Stona, Marie",Stona Marie,Stona,Marie,,
"Storch, Bernhardine v",Storch Bernhardine,Storch,Bernhardine,,v
"Storck, Frl. Frida",Storck Frida,Storck,Frida,Frl.,
"Stormann, A. v",Stormann A.,Stormann,A.,,v
"Stormenek, Rudolf",Stormenek Rudolf,Stormenek,Rudolf,,
"Stosch, Helene",Stosch Helene,Stosch,Helene,,
"Stosch-Reclam, Frau Marie Henriette",Stosch-Reclam Marie Henriette,Stosch-Reclam,Marie Henriette,Frau,
"Stötzer, Kamilla",Stötzer Kamilla,Stötzer,Kamilla,,
"Strachwitz, Martha",Strachwitz Martha,Strachwitz,Martha,,
"Strachwitz, Gräfin Nora",Strachwitz Nora,Strachwitz,Nora,Gräfin,
"Stradal, Frau Hildegard",Stradal Hildegard,Stradal,Hildegard,Frau,
"Strahl, Paula",Strahl Paula,Strahl,Paula,,
"Straka, Frau Emilie",Straka Emilie,Straka,Emilie,Frau,
"Strand, Ernst am",Strand am Ernst,Strand,am Ernst,,
"Strand, Gabriel",Strand Gabriel,Strand,Gabriel,,
"Strande, Anna v",Strande Anna,Strande,Anna,,v
"Strantz, Clara v",Strantz Clara,Strantz,Clara,,v
"Strantz, Minna von",Strantz Minna,Strantz,Minna,,von
"Strasser, Amalie",Strasser Amalie,Strasser,Amalie,,
"Straube, Frl. Helene",Straube Helene,Straube,Helene,Frl.,
"Strauss, Frau Henriette",Strauss Henriette,Strauss,Henriette,Frau,
"Strauss und Torney, Luise von",Strauss und Torney Luise,Strauss und Torney,Luise,,von
"Sträussler-Kohn, Frau Adele",Sträussler-Kohn Adele,Sträussler-Kohn,Adele,Frau,
"Strecker, Frl. Gabriele",Strecker Gabriele,Strecker,Gabriele,Frl.,
"Strecker, Frau Pastor",Strecker Pastor,Strecker,Pastor,Frau,
"Streit-Sanndorf, Johanna",Streit-Sanndorf Johanna,Streit-Sanndorf,Johanna,,
"Streitberg, Gräfin Gisela von",Streitberg Gisela,Streitberg,Gisela,Gräfin,von
"Strejček, Frl. Aloisia",Strejček Aloisia,Strejček,Aloisia,Frl.,
"Stremler, Louise",Stremler Louise,Stremler,Louise,,
"Strempel, Frl. Dora",Strempel Dora,Strempel,Dora,Frl.,
"Strempel, Elis",Strempel Elis,Strempel,Elis,,
"Stricker, Caroline",Stricker Caroline,Stricker,Caroline,,
"Strickler, Seline",Strickler Seline,Strickler,Seline,,
"Stritt, Frau Marie",Stritt Marie,Stritt,Marie,Frau,
"Strohsal, Fanny",Strohsal Fanny,Strohsal,Fanny,,
"Strohschein, Johanna",Strohschein Johanna,Strohschein,Johanna,,
"Ström, Isidor",Ström Isidor,Ström,Isidor,,
"Stromeyer, Helene",Stromeyer Helene,Stromeyer,Helene,,
"Strotta, A",Strotta A,Strotta,A,,
"Strüfs, Marianne",Strüfs Marianne,Strüfs,Marianne,,
"Struve, Amalie",Struve Amalie,Struve,Amalie,,
"Stubenrauch, Amalia",Stubenrauch Amalia,Stubenrauch,Amalia,,
"Stubenrauch, Frau Landrat",Stubenrauch,Stubenrauch,,Frau Landrat,
"Studnitz, Frl. Clara von",Studnitz Clara,Studnitz,Clara,Frl.,von
"Stummer von Tavarnok, Frau Baronin Amalie",Stummer von Tavarnok Amalie,Stummer von Tavarnok,Amalie,Frau Baronin,
"Stürkow, Alice C",Stürkow Alice C,Stürkow,Alice C,,
"Sturm, Leopoldine",Sturm Leopoldine,Sturm,Leopoldine,,
"Sturmin, Beata",Sturmin Beata,Sturmin,Beata,,
"Sturmhoefel, Nahida",Sturmhoefel Nahida,Sturmhoefel,Nahida,,
"Sturmhoefel, Nahida",Sturmhoefel Nahida,Sturmhoefel,Nahida,,
"Stürtz-Gebauer, Frau",Stürtz-Gebauer,Stürtz-Gebauer,,Frau,
"Stutzer, Frau Pastor Therese",Stutzer Pastor Therese,Stutzer,Pastor Therese,Frau,
"Suckow, Emma von",Suckow Emma,Suckow,Emma,,von
"Sudermann, Frau Clara",Sudermann Clara,Sudermann,Clara,Frau,
"Suhr, Agathe von",Suhr Agathe,Suhr,Agathe,,von
"Sühring-Bardey, Frau Anna",Sühring-Bardey Anna,Sühring-Bardey,Anna,Frau,
"Sulkowska, Fürstin Thaida von",Sulkowska Thaida,Sulkowska,Thaida,Fürstin,von
"Sulyok, Frau Ylda",Sulyok Ylda,Sulyok,Ylda,Frau,
"Sulza, Martha v",Sulza Martha,Sulza,Martha,,v
"Susan, Friederike",Susan Friederike,Susan,Friederike,,
"Susemihl, Charlotte",Susemihl Charlotte,Susemihl,Charlotte,,
"Susman, Frl. G",Susman G,Susman,G,Frl.,
"Sussmann, Frau Anna Eva",Sussmann Eva Anna,Sussmann,Eva Anna,Frau,
"Sutro-Schücking, Kathinka",Sutro-Schücking Kathinka,Sutro-Schücking,Kathinka,,
"Sutter, Julie",Sutter Julie,Sutter,Julie,,
"Suttner, Bertha, Freiin v",Suttner Bertha,Suttner,Bertha,Freiin,v
"Suttner, Bertha v",Suttner Bertha,Suttner,Bertha,,v
"Suttner, Freifrl. Marie von",Suttner Marie,Suttner,Marie,Freifrl.,von
"Svala, Ellen",Svala Ellen,Svala,Ellen,,
"Syard, Maria",Syard Maria,Syard,Maria,,
"Sybrand, T",Sybrand T,Sybrand,T,,
"Sydow, Frl. Clara Auguste Beda v",Sydow Clara Beda Auguste,Sydow,Clara Beda Auguste,Frl.,v
"Sydow, Frl. Johanna v",Sydow Johanna,Sydow,Johanna,Frl.,v
"Sydow, Johanna v",Sydow Johanna,Sydow,Johanna,,v
"Sydow, Marie von",Sydow Marie,Sydow,Marie,,von
"Sydow, Marie",Sydow Marie,Sydow,Marie,,
"Sydow, Marie Josephe v",Sydow Josephe Marie,Sydow,Josephe Marie,,v
"Sydow, Wilhelmine von",Sydow Wilhelmine,Sydow,Wilhelmine,,von
"Sylva, Carmen",Sylva Carmen,Sylva,Carmen,,
"Szatanska, Isa v",Szatanska Isa,Szatanska,Isa,,v
"Szczepánska, Frau E. v",Szczepánska E.,Szczepánska,E.,Frau,v
