Original,Name Vorname,Name,Vorname,Titel,Sonstiges
"Mejer, Sophie",Mejer Sophie,Mejer,Sophie,,
"Melena, Elpis",Melena Elpis,Melena,Elpis,,
"Melena, Elpis",Melena Elpis,Melena,Elpis,,
"Mellien, Marie",Mellien Marie,Mellien,Marie,,
"Mellin, H",Mellin H,Mellin,H,,
"Melnec, S",Melnec S,Melnec,S,,
"Memmler, Louise",Memmler Louise,Memmler,Louise,,
"Mengs, Gg",Mengs Gg,Mengs,Gg,,
"Menke-Brümmershop, J",Menke-Brümmershop J,Menke-Brümmershop,J,,
"Menke, Juliane",Menke Juliane,Menke,Juliane,,
"Mensch, Der",Mensch Der,Mensch,Der,,
"Mensch, Frl. Dr. phil. Ella",Mensch phil. Ella,Mensch,phil. Ella,Dr. Frl.,
"Mentzel, Frau Elisabeth",Mentzel Elisabeth,Mentzel,Elisabeth,Frau,
"Menzel, Anna",Menzel Anna,Menzel,Anna,,
"Mercator, B",Mercator B,Mercator,B,,
"Mergner, J",Mergner J,Mergner,J,,
"Merian, Hans",Merian Hans,Merian,Hans,,
"Merian, Hans",Merian Hans,Merian,Hans,,
"Merian, Maria Sybilla",Merian Maria Sybilla,Merian,Maria Sybilla,,
"Merk, Frl. Emma",Merk Emma,Merk,Emma,Frl.,
"Merkin, Johanna Maria Elisabeth",Merkin Maria Johanna Elisabeth,Merkin,Maria Johanna Elisabeth,,
"Mertens, Anna",Mertens Anna,Mertens,Anna,,
"Mertens, Sibylle",Mertens Sibylle,Mertens,Sibylle,,
"Meruéll, E",Meruéll E,Meruéll,E,,
"Merx, Frau Eulalie Therese",Merx Eulalie Therese,Merx,Eulalie Therese,Frau,
"Merx, Eulalie Therese",Merx Eulalie Therese,Merx,Eulalie Therese,,
"Merz, Elisabeth",Merz Elisabeth,Merz,Elisabeth,,
"Meske, Frau Mathilde",Meske Mathilde,Meske,Mathilde,Frau,
"Messerer, Th",Messerer Th,Messerer,Th,,
"Messerer, Th",Messerer Th,Messerer,Th,,
"Messerschmidt, Frida",Messerschmidt Frida,Messerschmidt,Frida,,
"Messerschmidt-Gersdorf, Anna",Messerschmidt-Gersdorf Anna,Messerschmidt-Gersdorf,Anna,,
"Mestorf, Frl. Johanna",Mestorf Johanna,Mestorf,Johanna,Frl.,
"Metellus, Ida",Metellus Ida,Metellus,Ida,,
"Metsch, Eugenie",Metsch Eugenie,Metsch,Eugenie,,
"Mettingh, Philippine v",Mettingh Philippine,Mettingh,Philippine,,v
"Metzel, Johanne",Metzel Johanne,Metzel,Johanne,,
"Metzger, Frau Hermance",Metzger Hermance,Metzger,Hermance,Frau,
