Original,Name,Vorname,Titel,Sonstiges,Name Vorname
"Avari, E",Avari,E,,,Avari E
"Averdieck, C. v",Averdieck,C.,,v,Averdieck C.
"Averdieck, E. v",Averdieck,E.,,v,Averdieck E.
"Bååth-Holmberg, Cecilia",Bååth-Holmberg,Cecilia,,,Bååth-Holmberg Cecilia
"Bach, Cuno",Bach,Cuno,,,Bach Cuno
"Bach, Emilie",Bach,Emilie,,,Bach Emilie
"Bach, Emilie",Bach,Emilie,,,Bach Emilie
"Bach, Jenny",Bach,Jenny,,,Bach Jenny
"Bach, Frl. Ottilie",Bach,Ottilie,Frl.,,Bach Ottilie
"Bach-Gelpcke, Frau Marie",Bach-Gelpcke,Marie,Frau,,Bach-Gelpcke Marie
"Bacheracht, Therese v",Bacheracht,Therese,,v,Bacheracht Therese
"Bachmann, C. F",Bachmann,C. F,,,Bachmann C. F
"Bachofner-Buxtorf, Anna",Bachofner-Buxtorf,Anna,,,Bachofner-Buxtorf Anna
"Bacmeister, Frau Lucie",Bacmeister,Lucie,Frau,,Bacmeister Lucie
"Baeblich, Frau Lucie",Baeblich,Lucie,Frau,,Baeblich Lucie
"Baentsch, Frau Dr. Rosa",Baentsch,Rosa,Dr. Frau,,Baentsch Rosa
"Baer, Frl. Ida",Baer,Ida,Frl.,,Baer Ida
"Baerenfels, Frau v",Baerenfels,,Frau,v,Baerenfels 
"Baernreither, Frl. Franziska C",Baernreither,Franziska C,Frl.,,Baernreither Franziska C
"Bagge, Bertha",Bagge,Bertha,,,Bagge Bertha
"Bagge, Frl. Elilla",Bagge,Elilla,Frl.,,Bagge Elilla
"Bagge, Frl. Elilla",Bagge,Elilla,Frl.,,Bagge Elilla
"Bajovar, Joseph",Bajovar,Joseph,,,Bajovar Joseph
"Baisch, Frau Amalie",Baisch,Amalie,Frau,,Baisch Amalie
"Bake, Frl. Elise",Bake,Elise,Frl.,,Bake Elise
"Balás-Kisócz, Frau Marie von",Balás-Kisócz,Marie,Frau,von,Balás-Kisócz Marie
"Baldin, A",Baldin,A,,,Baldin A
"Ballauf, Theresia",Ballauf,Theresia,,,Ballauf Theresia
"Ballestrem, Adlersfeld- Eufemia",Ballestrem,Adlersfeld- Eufemia,,,Ballestrem Adlersfeld- Eufemia
"Ballestrem, Adlersfeld",Ballestrem,Adlersfeld,,,Ballestrem Adlersfeld
"Ballkow, Caroline",Ballkow,Caroline,,,Ballkow Caroline
"Balluseck, Frau General A. v",Balluseck,A.,Frau General,v,Balluseck A.
"Baltz, Frl. Johanna",Baltz,Johanna,Frl.,,Baltz Johanna
"Baltz, Johanna",Baltz,Johanna,,,Baltz Johanna
"Baltz-Baltzberg, Frl. Angela v",Baltz-Baltzberg,Angela,Frl.,v,Baltz-Baltzberg Angela
"Bandau, Adelheid",Bandau,Adelheid,,,Bandau Adelheid
"Bandow, Käthe",Bandow,Käthe,,,Bandow Käthe
"Banze, Angela",Banze,Angela,,,Banze Angela
"Barach, Frau Rosa",Barach,Rosa,Frau,,Barach Rosa
"Barach, Rosa",Barach,Rosa,,,Barach Rosa
"Baranius-Molien, Frau Dr. Elise",Baranius-Molien,Elise,Dr. Frau,,Baranius-Molien Elise
"Baranius, Sophie",Baranius,Sophie,,,Baranius Sophie
"Baranow, Ivan",Baranow,Ivan,,,Baranow Ivan
"Barazetti, Frau Sophie",Barazetti,Sophie,Frau,,Barazetti Sophie
"Barber, Frau Ida",Barber,Ida,Frau,,Barber Ida
"Barberey, Freifrau Helene v",Barberey,Helene,Freifrau,v,Barberey Helene
"Barbi, Alice",Barbi,Alice,,,Barbi Alice
"Bardeleben, Eveline Ernestine v",Bardeleben,Ernestine Eveline,,v,Bardeleben Ernestine Eveline
"Baring, Natalie",Baring,Natalie,,,Baring Natalie
"Barinkay, S",Barinkay,S,,,Barinkay S
"Baron, Frau Generalmajor Emma",Baron,Emma,Frau Generalmajor,,Baron Emma
"Barsch, Hedwig",Barsch,Hedwig,,,Barsch Hedwig
"Bartels, Frl. Auguste",Bartels,Auguste,Frl.,,Bartels Auguste
"Bartels, Elvira",Bartels,Elvira,,,Bartels Elvira
"Bartels, Frau Prof. Wanda v",Bartels,Wanda,Prof. Frau,v,Bartels Wanda
"Bartenheim, Auguste",Bartenheim,Auguste,,,Bartenheim Auguste
"Bartenstein, Karoline",Bartenstein,Karoline,,,Bartenstein Karoline
"Barth, S",Barth,S,,,Barth S
"Barthels, Frau Emilie",Barthels,Emilie,Frau,,Barthels Emilie
"Barthmann, Sophie",Barthmann,Sophie,,,Barthmann Sophie
"Bartuneck, Frl. Aloisia",Bartuneck,Aloisia,Frl.,,Bartuneck Aloisia
"Baruch, Frl. N",Baruch,N,Frl.,,Baruch N
"Bastian, Frl. Hella M",Bastian,Hella M,Frl.,,Bastian Hella M
"Bauck, Anna",Bauck,Anna,,,Bauck Anna
"Bauck, Frl. Elisabeth",Bauck,Elisabeth,Frl.,,Bauck Elisabeth
"Baud, Marie Philippertine",Baud,Marie Philippertine,,,Baud Marie Philippertine
"Baudissin, Frau Gräfin Eva v",Baudissin,Eva,Gräfin Frau,v,Baudissin Eva
"Baudissin, Gräfin Sophie v",Baudissin,Sophie,Gräfin,v,Baudissin Sophie
"Baudissin, Gräfin Thekla v",Baudissin,Thekla,Gräfin,v,Baudissin Thekla
"Bauer, Frl. Anna",Bauer,Anna,Frl.,,Bauer Anna
"Bauer, Anna",Bauer,Anna,,,Bauer Anna
"Bauer, Charlotte",Bauer,Charlotte,,,Bauer Charlotte
"Bauer, Emma",Bauer,Emma,,,Bauer Emma
"Bauer, Heribert",Bauer,Heribert,,,Bauer Heribert
"Bauer, Karolina",Bauer,Karolina,,,Bauer Karolina
"Bauer, Karoline",Bauer,Karoline,,,Bauer Karoline
"Bauer, Marie",Bauer,Marie,,,Bauer Marie
"Bauer, Martin",Bauer,Martin,,,Bauer Martin
"Baum, Elisabeth",Baum,Elisabeth,,,Baum Elisabeth
"Baum, Mathilde",Baum,Mathilde,,,Baum Mathilde
"Baumann, Karoline",Baumann,Karoline,,,Baumann Karoline
"Baumann, Frl. Marla",Baumann,Marla,Frl.,,Baumann Marla
"Bawr, Mme de",Bawr,,,de Mme,Bawr 
"Baxter, Frau L",Baxter,L,Frau,,Baxter L
"Bayer, Marianne",Bayer,Marianne,,,Bayer Marianne
"Bayer, Frl. Ottilie",Bayer,Ottilie,Frl.,,Bayer Ottilie
"Bayer, Th",Bayer,Th,,,Bayer Th
"Beaulieu, Gertraut Châles de",Beaulieu,Gertraut,,Châles de,Beaulieu Gertraut
"Becher, Elisab",Becher,Elisab,,,Becher Elisab
"Bechler, Anna",Bechler,Anna,,,Bechler Anna
"Becher, Frau Emmy Dr. Gohlis",Becher,Emmy Gohlis,Dr. Frau,,Becher Emmy Gohlis
"Becher, F",Becher,F,,,Becher F
"Bechlin, L",Bechlin,L,,,Bechlin L
"Beck, Frau Elise",Beck,Elise,Frau,,Beck Elise
"Beck, F",Beck,F,,,Beck F
"Beck, Frau Marie",Beck,Marie,Frau,,Beck Marie
"Beck, Wilhelmine, Baronin v",Beck,,Baronin,v,Beck 
"Beckendorff, Elisabeth v",Beckendorff,Elisabeth,,v,Beckendorff Elisabeth
"Beckendorff, Elisabeth v",Beckendorff,Elisabeth,,v,Beckendorff Elisabeth
"Beckendorff, Marie v",Beckendorff,Marie,,v,Beckendorff Marie
"Becker, Adeline",Becker,Adeline,,,Becker Adeline
"Becker, Elise",Becker,Elise,,,Becker Elise
"Becker, Frl. Johanna",Becker,Johanna,Frl.,,Becker Johanna
"Becker, Frau Käthe",Becker,Käthe,Frau,,Becker Käthe
"Bedenk, Kath",Bedenk,Kath,,,Bedenk Kath
"Beeg, Gunda",Beeg,Gunda,,,Beeg Gunda
