Original,Name,Vorname,Titel,Sonstiges,Name Vorname
"Dalberg, Theresia Maria, Reichsfreiin v",Dalberg,Theresia Maria,Reichsfreiin,v,Dalberg Theresia Maria
Dalfon,Dalfon,,,,Dalfon 
"Dallwitz, Frau Wanda v",Dallwitz,Wanda,Frau,v,Dallwitz Wanda
"Dalmer, Frau Rittmeister, Helene",Dalmer,Helene,Frau Rittmeister,,Dalmer Helene
"Damati, Julius",Damati,Julius,,,Damati Julius
"Damitz, Emma v",Damitz,Emma,,v,Damitz Emma
"Damm, A. v",Damm,A.,,v,Damm A.
"Dammermann, Frau Pastor Marie",Dammermann,Marie,Frau Pastor,,Dammermann Marie
"Danckelmann, Caroline, Baronin v",Danckelmann,Caroline,Baronin v,,Danckelmann Caroline
"Danne, Frl. Auguste",Danne,Auguste,Frl.,,Danne Auguste
Danner,Danner,,,,Danner 
"Darlem, Clary",Darlem,Clary,,,Darlem Clary
"Daschkoff, Fürstin",Daschkoff,,Fürstin,,Daschkoff 
"Daszynska, Dr. Sophie",Daszynska,Sophie,Dr.,,Daszynska Sophie
"Daufalik, Frau Leopoldine",Daufalik,Leopoldine,Frau,,Daufalik Leopoldine
"Davidis, Henriette",Davidis,Henriette,,,Davidis Henriette
"Davidis, Henriette",Davidis,Henriette,,,Davidis Henriette
"Dealand, Marg",Dealand,Marg,,,Dealand Marg
"Dean, Theresa H",Dean,Theresa H,,,Dean Theresa H
"Dechent, Marie",Dechent,Marie,,,Dechent Marie
"Decken, Agnes v. der",Decken,Agnes,,v. der,Decken Agnes
"Decken, Auguste v. der",Decken,Auguste,,v. der,Decken Auguste
"Decken, Elsbeth v. der",Decken,Elsbeth,,v. der,Decken Elsbeth
"Decken, Frl. Eva v. der",Decken,Eva,Frl.,v. der,Decken Eva
"Dedekind, Frl. Julie",Dedekind,Julie,Frl.,,Dedekind Julie
"Dedenroth, Frau Julie v",Dedenroth,Julie,Frau,v,Dedenroth Julie
"Degen, Frl. Elise",Degen,Elise,Frl.,,Degen Elise
"Deleuwa, M",Deleuwa,M,,,Deleuwa M
"Delmar, Eva",Delmar,Eva,,,Delmar Eva
"Delwani, S",Delwani,S,,,Delwani S
"Dembo, Fanny",Dembo,Fanny,,,Dembo Fanny
"Deneken, Anna",Deneken,Anna,,,Deneken Anna
Den Frauen,Den Frauen,,,,Den Frauen 
"Denhardt, H",Denhardt,H,,,Denhardt H
"Denk, Frl. Julie",Denk,Julie,Frl.,,Denk Julie
"Dennemarck, Frau Julie",Dennemarck,Julie,Frau,,Dennemarck Julie
Denwitz,Denwitz,,,,Denwitz 
"Dequede, Frl. Else v",Dequede,Else,Frl.,v,Dequede Else
"Derelli, U",Derelli,U,,,Derelli U
"Derichs, M",Derichs,M,,,Derichs M
"Derwall, Mark",Derwall,Mark,,,Derwall Mark
"Dery, Frl. Juliane",Dery,Juliane,Frl.,,Dery Juliane
"Dessoff, Friederike",Dessoff,Friederike,,,Dessoff Friederike
"Destouches, Frl. Johanna v",Destouches,Johanna,Frl.,v,Destouches Johanna
"Dethleffs, Sophie",Dethleffs,Sophie,,,Dethleffs Sophie
"Detlef, Hugo",Detlef,Hugo,,,Detlef Hugo
"Detlef, Karl",Detlef,Karl,,,Detlef Karl
"Detleffsen, Meta",Detleffsen,Meta,,,Detleffsen Meta
"Detlotf, Martha",Detlotf,Martha,,,Detlotf Martha
"Detschy, Frl. Seraphine",Detschy,Seraphine,Frl.,,Detschy Seraphine
"Deutsch, Karoline",Deutsch,Karoline,,,Deutsch Karoline
"Deutschmann, Frl. Marie",Deutschmann,Marie,Frl.,,Deutschmann Marie
"Deuwel, Frau Meta",Deuwel,Meta,Frau,,Deuwel Meta
"Devantier, T",Devantier,T,,,Devantier T
"Devidé, Frau Henriette",Devidé,Henriette,Frau,,Devidé Henriette
"Devrient, Frl. Luise",Devrient,Luise,Frl.,,Devrient Luise
"Devrient, Therese",Devrient,Therese,,,Devrient Therese
"Dewitz, Frl. Anna von",Dewitz,Anna,Frl.,von,Dewitz Anna
"Dezasse, Gräfin Blanca",Dezasse,Blanca,Gräfin,,Dezasse Blanca
"Diamantidi, Frau Julie",Diamantidi,Julie,Frau,,Diamantidi Julie
"Dibelius, Babette",Dibelius,Babette,,,Dibelius Babette
"Dieburg, Emma v",Dieburg,Emma,,v,Dieburg Emma
"Dieckhoff, Frau M",Dieckhoff,M,Frau,,Dieckhoff M
"Diede, Charlotte",Diede,Charlotte,,,Diede Charlotte
"Diederich, Frl. Ernestine",Diederich,Ernestine,Frl.,,Diederich Ernestine
"Diemar, Frl. Adamine v",Diemar,Adamine,Frl.,v,Diemar Adamine
"Diemer, Frau Hermine",Diemer,Hermine,Frau,,Diemer Hermine
"Dierkes, Leo v",Dierkes,Leo,,v,Dierkes Leo
"Diers, Frau Marie",Diers,Marie,Frau,,Diers Marie
"Dieskau, Margarete v",Dieskau,Margarete,,v,Dieskau Margarete
"Diesterweg, Frau Dr. M",Diesterweg,M,Dr. Frau,,Diesterweg M
"Diethoff, E",Diethoff,E,,,Diethoff E
"Dietrich, Amalie",Dietrich,Amalie,,,Dietrich Amalie
"Dietrich, Frl. Anna",Dietrich,Anna,Frl.,,Dietrich Anna
"Dietz, Frl. Hedwig",Dietz,Hedwig,Frl.,,Dietz Hedwig
"Dietze, A",Dietze,A,,,Dietze A
Diewenow,Diewenow,,,,Diewenow 
"Diez, Katharina",Diez,Katharina,,,Diez Katharina
"Diez, Katharina",Diez,Katharina,,,Diez Katharina
"Dilia, Helena",Dilia,Helena,,,Dilia Helena
"Dillinger, Frau Auguste",Dillinger,Auguste,Frau,,Dillinger Auguste
"Dillmont, Frl. Fanny von",Dillmont,Fanny,Frl.,von,Dillmont Fanny
"Dillmont, Thérèse de",Dillmont,Thérèse,,de,Dillmont Thérèse
"Dillmont, Thérèse de",Dillmont,Thérèse,,de,Dillmont Thérèse
"Dilloo, Frau Professor Josephine",Dilloo,Josephine,Frau Professor,,Dilloo Josephine
"Dincklage, Amalie Ehrengarte Sophie Wilhelmine",Dincklage,Wilhelmine Sophie Amalie Ehrengarte,,,Dincklage Wilhelmine Sophie Amalie Ehrengarte
"Dincklage, Baronesse Clara v",Dincklage,Clara,Baronesse,v,Dincklage Clara
"Dincklage, E. v",Dincklage,E.,,v,Dincklage E.
"Dincklage, E. v",Dincklage,E.,,v,Dincklage E.
"Dirking, J. v",Dirking,J.,,v,Dirking J.
"Dirnböck-Schulz, Frau Jenny",Dirnböck-Schulz,Jenny,Frau,,Dirnböck-Schulz Jenny
Dito,Dito,,,,Dito 
"Dittmar, Frau Elise Caroline",Dittmar,Elise Caroline,Frau,,Dittmar Elise Caroline
"Dittmar, Louise",Dittmar,Louise,,,Dittmar Louise
"Dittmer, Lehr. Hermine",Dittmer,Hermine,,Lehr.,Dittmer Hermine
"Dittmer, Frau Minna",Dittmer,Minna,Frau,,Dittmer Minna
"Dixie, Lady Florence",Dixie,Florence,Lady,,Dixie Florence
"Dobbert, Frl. Emilie",Dobbert,Emilie,Frl.,,Dobbert Emilie
"Dobbert, Frl. Friederike",Dobbert,Friederike,Frl.,,Dobbert Friederike
"Döbeli, Marie",Döbeli,Marie,,,Döbeli Marie
"Dobeneck, Magdalena Freifrau v",Dobeneck,Magdalena,Freifrau,v,Dobeneck Magdalena
"Dobson, Mary",Dobson,Mary,,,Dobson Mary
"Doberenz, Marie",Doberenz,Marie,,,Doberenz Marie
Dodd,Dodd,,,,Dodd 
"Dodel, Frau Luise",Dodel,Luise,Frau,,Dodel Luise
"Doering, L. v",Doering,L.,,v,Doering L.
"Döhner, Frl. Sophie",Döhner,Sophie,Frl.,,Döhner Sophie
"Dölzig, Anna",Dölzig,Anna,,,Dölzig Anna
"Doemming, Pauline v",Doemming,Pauline,,v,Doemming Pauline
"Dönitz, Frau Professor Martha",Dönitz,Martha,Frau Professor,,Dönitz Martha
"Döppler, Frl. Mary",Döppler,Mary,Frl.,,Döppler Mary
"Döring, Charlotte",Döring,Charlotte,,,Döring Charlotte
"Döring, Frau Hauptmann Elisabeth",Döring,Elisabeth,Frau Hauptmann,,Döring Elisabeth
"Döring, Frl. Emilie",Döring,Emilie,Frl.,,Döring Emilie
"Döring, Frl. Katharina v",Döring,Katharina,Frl.,v,Döring Katharina
"Doering, Maria",Doering,Maria,,,Doering Maria
"Dörle, A",Dörle,A,,,Dörle A
"Dohm, Frau Hedwig",Dohm,Hedwig,Frau,,Dohm Hedwig
"Dohm, Hedwig",Dohm,Hedwig,,,Dohm Hedwig
"Dohmke, Frau Professor Julie",Dohmke,Julie,Frau Professor,,Dohmke Julie
"Dohna, M",Dohna,M,,,Dohna M
"Dohna, Ottilie zu",Dohna,Ottilie,,zu,Dohna Ottilie
"Dolf, Ina",Dolf,Ina,,,Dolf Ina
"Dolle, Käthe",Dolle,Käthe,,,Dolle Käthe
"Domarus, Frau E. v",Domarus,E.,Frau,v,Domarus E.
"Dominicus, Frl. Ida",Dominicus,Ida,Frl.,,Dominicus Ida
"Domo, Eli",Domo,Eli,,,Domo Eli
"Donat, Frau Major, Else v",Donat,Else,Frau Major,v.,Donat Else
"Donatus, Frank",Donatus,Frank,,,Donatus Frank
"Donop, Amalie v",Donop,Amalie,,v,Donop Amalie
"Dony, Alexis",Dony,Alexis,,,Dony Alexis
"Dorieux-Brotbeck, Betty",Dorieux-Brotbeck,Betty,,,Dorieux-Brotbeck Betty
"Dormeyer, Frau Helene",Dormeyer,Helene,Frau,,Dormeyer Helene
"Dorn, Anna",Dorn,Anna,,,Dorn Anna
"Dorn, Clara",Dorn,Clara,,,Dorn Clara
"Dorn, Ernst",Dorn,Ernst,,,Dorn Ernst
"Dorn, Ernst",Dorn,Ernst,,,Dorn Ernst
"Dorn, Hedwig",Dorn,Hedwig,,,Dorn Hedwig
"Dorn, Magdalene",Dorn,Magdalene,,,Dorn Magdalene
"Dorn, v. Marwald, Frau Paula",Dorn,Frau Paula,,v.,Dorn Frau Paula
"Dorne, H",Dorne,H,,,Dorne H
"Dorneth, J. v",Dorneth,J.,,v,Dorneth J.
"Dornheim, M",Dornheim,M,,,Dornheim M
"Dory, M",Dory,M,,,Dory M
"Dose, Frl. Cäcilie",Dose,Cäcilie,Frl.,,Dose Cäcilie
"Doubberck, Frau Pauline",Doubberck,Pauline,Frau,,Doubberck Pauline
"Drache, Bertha",Drache,Bertha,,,Drache Bertha
"Drachenfels, Adele v",Drachenfels,Adele,,v,Drachenfels Adele
"Dransfeld, Frl. Hedwig",Dransfeld,Hedwig,Frl.,,Dransfeld Hedwig
"Dreidax, Therese",Dreidax,Therese,,,Dreidax Therese
"Dressel, Carl",Dressel,Carl,,,Dressel Carl
"Dressel, Frl. Clara",Dressel,Clara,Frl.,,Dressel Clara
"Dressler, Lina",Dressler,Lina,,,Dressler Lina
"Drews, Marie und Lina",Drews,Marie Lina und,,,Drews Marie Lina und
"Dröge, Auguste",Dröge,Auguste,,,Dröge Auguste
"Droescher, Frl. Emilie",Droescher,Emilie,Frl.,,Droescher Emilie
"Drohojowska, Gräfin",Drohojowska,,Gräfin,,Drohojowska 
"Dromery, L",Dromery,L,,,Dromery L
"Droste, Charlotte",Droste,Charlotte,,,Droste Charlotte
"Droste-Hülshoff, Annette v",Droste-Hülshoff,Annette,,v,Droste-Hülshoff Annette
"Droste-Hülshoff, Annette v",Droste-Hülshoff,Annette,,v,Droste-Hülshoff Annette
"Droste-Hülshoff, Elise Baronin v",Droste-Hülshoff,Elise,Baronin,v,Droste-Hülshoff Elise
"Druskowitz, Dr. Helene",Druskowitz,Helene,Dr.,,Druskowitz Helene
"Druskowitz, Helene",Druskowitz,Helene,,,Druskowitz Helene
"Duc, Aimée",Duc,Aimée,,,Duc Aimée
"Dücker, Isabella v",Dücker,Isabella,,v,Dücker Isabella
"Dufke, Marie",Dufke,Marie,,,Dufke Marie
"Duisburg, Luise v",Duisburg,Luise,,v,Duisburg Luise
"Dumek, Hanna",Dumek,Hanna,,,Dumek Hanna
"Dunajew, Wanda v",Dunajew,Wanda,,v,Dunajew Wanda
"Duncker, Frau Dora",Duncker,Dora,Frau,,Duncker Dora
"Duncker, Dora",Duncker,Dora,,,Duncker Dora
"Dungern, Freifrl",Dungern,Freifrl,,,Dungern Freifrl
"Dungern, Julie",Dungern,Julie,,,Dungern Julie
"Dunsch, Emilie",Dunsch,Emilie,,,Dunsch Emilie
"Dupuy, Eliza",Dupuy,Eliza,,,Dupuy Eliza
"Düring, Frl. Christine v",Düring,Christine,Frl.,v,Düring Christine
"Düring, Frau Baronin Clara v",Düring,Clara,Baronin Frau,v,Düring Clara
"Düring-Oetken, Freiin Helene von",Düring-Oetken,Helene,Freiin,von,Düring-Oetken Helene
"Düringsfeld, Ida v",Düringsfeld,Ida,,v,Düringsfeld Ida
"Düringsfeld, Ida v",Düringsfeld,Ida,,v,Düringsfeld Ida
"Dürow, Joachim v",Dürow,Joachim,,v,Dürow Joachim
"Dürwald, Frau Dora",Dürwald,Dora,Frau,,Dürwald Dora
"Düsterhoff, Frl. Klara",Düsterhoff,Klara,Frl.,,Düsterhoff Klara
"Dutczynská-Békassy, Frau Helene von",Dutczynská-Békassy,Helene,Frau,von,Dutczynská-Békassy Helene
"Dyckerhoff-Matthias, Frau Emma",Dyckerhoff-Matthias,Emma,Frau,,Dyckerhoff-Matthias Emma
"Dyckhoff, Jenny",Dyckhoff,Jenny,,,Dyckhoff Jenny
"Dyckowska, Tatiana v",Dyckowska,Tatiana,,v,Dyckowska Tatiana
"Dyhrenfurt, Gertrud",Dyhrenfurt,Gertrud,,,Dyhrenfurt Gertrud
"Ebeling, Frau Elisabeth",Ebeling,Elisabeth,Frau,,Ebeling Elisabeth
"Ebeling, Elisabeth u. B. Filhés",Ebeling,u. Elisabeth B. Filhés,,,Ebeling u. Elisabeth B. Filhés
"Ebeling, Elisabeth u. B. Filhés",Ebeling,u. Elisabeth B. Filhés,,,Ebeling u. Elisabeth B. Filhés
"Eberhard, Lili",Eberhard,Lili,,,Eberhard Lili
"Eberhard, Sabine",Eberhard,Sabine,,,Eberhard Sabine
"Eberhardt-Bürck, Frau Adelheid Emilie Bab",Eberhardt-Bürck,Adelheid Emilie Bab,Frau,,Eberhardt-Bürck Adelheid Emilie Bab
"Eberle, Adelheid",Eberle,Adelheid,,,Eberle Adelheid
"Eberlein, Frau Maria",Eberlein,Maria,Frau,,Eberlein Maria
"Ebersold, Frl. Elise",Ebersold,Elise,Frl.,,Ebersold Elise
"Ebert, Jenny Lina",Ebert,Lina Jenny,,,Ebert Lina Jenny
"Ebert, Martha",Ebert,Martha,,,Ebert Martha
"Ebmeyer, Ottilie",Ebmeyer,Ottilie,,,Ebmeyer Ottilie
"Ebner-Eschenbach, Marie, Freifrau von",Ebner-Eschenbach,Marie,Freifrau,von,Ebner-Eschenbach Marie
"Ebner-Eschenbach, Marie v",Ebner-Eschenbach,Marie,,v,Ebner-Eschenbach Marie
"Eck, Ulla v",Eck,Ulla,,v,Eck Ulla
"Eckardt, Frl. M",Eckardt,M,Frl.,,Eckardt M
"Eckardt-Volmar, Ernestine",Eckardt-Volmar,Ernestine,,,Eckardt-Volmar Ernestine
"Eckart, Agnes",Eckart,Agnes,,,Eckart Agnes
"Ecker-Krauss, Frl. Sophie von",Ecker-Krauss,Sophie,Frl.,von,Ecker-Krauss Sophie
"Eckermann, Frl. Ottilie",Eckermann,Ottilie,Frl.,,Eckermann Ottilie
"Eckert, Frau Pastor Elise",Eckert,Elise,Frau Pastor,,Eckert Elise
"Eckhard, Henrike Elisabeth",Eckhard,Henrike Elisabeth,,,Eckhard Henrike Elisabeth
"Eckhart, Emma",Eckhart,Emma,,,Eckhart Emma
"Eckstädt, M. v",Eckstädt,M.,,v,Eckstädt M.
"Edel, Antonie",Edel,Antonie,,,Edel Antonie
"Edel, Fanny",Edel,Fanny,,,Edel Fanny
"Edel, Frl. Margarete",Edel,Margarete,Frl.,,Edel Margarete
"Edelhagen, L",Edelhagen,L,,,Edelhagen L
"Edeling, Henriette",Edeling,Henriette,,,Edeling Henriette
"Edelweiss, J. v. B. v. H",Edelweiss,B. J. H,,v.,Edelweiss B. J. H
"Eden, Carla",Eden,Carla,,,Eden Carla
"Edlita, M",Edlita,M,,,Edlita M
"Egbert, W",Egbert,W,,,Egbert W
"Egger-Schmitzhausen, Frau Marie Edle v",Egger-Schmitzhausen,Marie Edle,Frau,v,Egger-Schmitzhausen Marie Edle
"Eggersberg, Frau Marianne",Eggersberg,Marianne,Frau,,Eggersberg Marianne
"Eggert, Gertrude",Eggert,Gertrude,,,Eggert Gertrude
"Eginhardt, Mathilde",Eginhardt,Mathilde,,,Eginhardt Mathilde
"Egloff, Louise",Egloff,Louise,,,Egloff Louise
"Egloffstein, Gräfin Auguste von und zu",Egloffstein,Auguste,Gräfin,von und zu,Egloffstein Auguste
"Egloffstein, Caroline v",Egloffstein,Caroline,,v,Egloffstein Caroline
"Egloffstein, Lilla, Gräfin von und zu",Egloffstein,Lilla,Gräfin,von und zu,Egloffstein Lilla
"Ehlen, Hanna",Ehlen,Hanna,,,Ehlen Hanna
"Ehlermann, Frau Helene",Ehlermann,Helene,Frau,,Ehlermann Helene
"Ehninger, Sophie",Ehninger,Sophie,,,Ehninger Sophie
"Ehrenberg, E",Ehrenberg,E,,,Ehrenberg E
"Eichelberg, G",Eichelberg,G,,,Eichelberg G
"Eichen, Brenda v",Eichen,Brenda,,v,Eichen Brenda
"Eichenberg, Marie",Eichenberg,Marie,,,Eichenberg Marie
"Eichenfels, Rosa v",Eichenfels,Rosa,,v,Eichenfels Rosa
"Eichens, Mahlwine",Eichens,Mahlwine,,,Eichens Mahlwine
"Eichhorn, Mathilde",Eichhorn,Mathilde,,,Eichhorn Mathilde
"Eichler, Amalie",Eichler,Amalie,,,Eichler Amalie
"Eichler, Frau Caroline",Eichler,Caroline,Frau,,Eichler Caroline
"Eichler, Frl. Marie",Eichler,Marie,Frl.,,Eichler Marie
"Eichmeyer, Frau",Eichmeyer,,Frau,,Eichmeyer 
"Eichstetten, Barbara v",Eichstetten,Barbara,,v,Eichstetten Barbara
"Eidam, Frl. Rosa",Eidam,Rosa,Frl.,,Eidam Rosa
"Eindhofen, Ulrike v",Eindhofen,Ulrike,,v,Eindhofen Ulrike
"Einsiedel, R. v",Einsiedel,R.,,v,Einsiedel R.
"Eisenhart, Frau Luise v",Eisenhart,Luise,Frau,v,Eisenhart Luise
"Eisenschitz, Siddy",Eisenschitz,Siddy,,,Eisenschitz Siddy
"Eitner, Frl. Martha",Eitner,Martha,Frl.,,Eitner Martha
"Eitner, Martha",Eitner,Martha,,,Eitner Martha
"Eitner, Martha",Eitner,Martha,,,Eitner Martha
"Eken, Anna von den",Eken,Anna,,von den,Eken Anna
"Elbe, A. v. d",Elbe,A. d,,v.,Elbe A. d
"Elbe, A. v. d",Elbe,A. d,,v.,Elbe A. d
"Elberskirchen, Frau Johanna",Elberskirchen,Johanna,Frau,,Elberskirchen Johanna
El-Correï,El-Correï,,,,El-Correï 
"Elda, G. v. der",Elda,G.,,v. der,Elda G.
Eleonore,Eleonore,,,,Eleonore 
"Eleonore, Fürstin Reuss",Eleonore,Reuss,Fürstin,,Eleonore Reuss
"Elfriede, v. Koburg",Elfriede,Koburg,,v.,Elfriede Koburg
"Elfström, Frl. Ida",Elfström,Ida,Frl.,,Elfström Ida
"Elg, Ivar",Elg,Ivar,,,Elg Ivar
Elisa,Elisa,,,,Elisa 
"Elisabeth, Königin von Rumänien",,Elisabeth,Königin von Rumänien,, Elisabeth
"Elisabeth, verw. Fürstin zur Lippe",Elisabeth,,verw. Fürstin zur Lippe,,Elisabeth 
Elisabeth,Elisabeth,,,,Elisabeth 
Elise,Elise,,,,Elise 
Ell-Dahnow,Ell-Dahnow,,,,Ell-Dahnow 
"Ell, Fanny v",Ell,Fanny,,v,Ell Fanny
"Ellen, Lucia",Ellen,Lucia,,,Ellen Lucia
"Ellgau, M. v",Ellgau,M.,,v,Ellgau M.
"Elling, E",Elling,E,,,Elling E
"Ellmenreich, Friederike",Ellmenreich,Friederike,,,Ellmenreich Friederike
Elmhausen,Elmhausen,,,,Elmhausen 
"Elsner, v. Gronow, Christine",Elsner,Christine,,v.,Elsner Christine
"Elton, M",Elton,M,,,Elton M
Emanzipation,Emanzipation,,,,Emanzipation 
"Embden-Heine, Marie",Embden-Heine,Marie,,,Embden-Heine Marie
Emilie,Emilie,,,,Emilie 
"Eminger, Therese",Eminger,Therese,,,Eminger Therese
"Emma, Tante",,Emma,,Tante, Emma
"Emmerich, Anna Katharina",Emmerich,Anna Katharina,,,Emmerich Anna Katharina
"Emmerich, Elisabetha",Emmerich,Elisabetha,,,Emmerich Elisabetha
Emmy,Emmy,,,,Emmy 
"Emmy, Tante",,Emmy,,Tante, Emmy
"Enberg, A. v. B",Enberg,A. B,,v.,Enberg A. B
"Enckhausen, Frl. Malwine",Enckhausen,Malwine,Frl.,,Enckhausen Malwine
"Ende, Eva",Ende,Eva,,,Ende Eva
"Ende, W",Ende,W,,,Ende W
"Endell, Maria",Endell,Maria,,,Endell Maria
"Enderes, Aglaia v",Enderes,Aglaia,,v,Enderes Aglaia
"Enders, M. A",Enders,A M.,,,Enders A M.
"Endler, Viktorine",Endler,Viktorine,,,Endler Viktorine
"Endor, Miss",Endor,Miss,,,Endor Miss
"Engel, Frl. Agnes",Engel,Agnes,Frl.,,Engel Agnes
"Engel, Agnes",Engel,Agnes,,,Engel Agnes
Engel v. Langwiaes,Engel v. Langwiaes,,,,Engel v. Langwiaes 
"Engelbrecht, Frl. Erna",Engelbrecht,Erna,Frl.,,Engelbrecht Erna
"Engelbronner, Julie Charlotte d'Aubigny v",Engelbronner,Charlotte Julie d'Aubigny,,v,Engelbronner Charlotte Julie d'Aubigny
"Engelhard, Magdalene Philippine",Engelhard,Philippine Magdalene,,,Engelhard Philippine Magdalene
"Engelhardt, Frau Eugenie",Engelhardt,Eugenie,Frau,,Engelhardt Eugenie
"Engelhardt, L. v",Engelhardt,L.,,v,Engelhardt L.
"Engelhardt, Frau Maria Elisabeth",Engelhardt,Elisabeth Maria,Frau,,Engelhardt Elisabeth Maria
"Engelhardt-Schnellenstein, Helene Baronesse",Engelhardt-Schnellenstein,Helene,Baronesse,,Engelhardt-Schnellenstein Helene
"Engelhardt-Schnellenstein, Helene",Engelhardt-Schnellenstein,Helene,,,Engelhardt-Schnellenstein Helene
"Engell-Günther, Frau Juliane",Engell-Günther,Juliane,Frau,,Engell-Günther Juliane
Enjuskina,Enjuskina,,,,Enjuskina 
"Eppert, Frl. Clara",Eppert,Clara,Frl.,,Eppert Clara
"Epheuranken, die beiden",Epheuranken,,,die beiden,Epheuranken 
"Eppner, Franziska",Eppner,Franziska,,,Eppner Franziska
"Erb, Frau A. B",Erb,B A.,Frau,,Erb B A.
"Erber, Anna",Erber,Anna,,,Erber Anna
"Erb-Wiget, Frau Sophie",Erb-Wiget,Sophie,Frau,,Erb-Wiget Sophie
"Erbach-Schönberg, Marie Gräfin zu",Erbach-Schönberg,Marie zu,Gräfin,,Erbach-Schönberg Marie zu
"Erhard, Frau Sanitätsrat Dr. A",Erhard,A,Frau Sanitätsrat Dr.,,Erhard A
"Erhard, Emile",Erhard,Emile,,,Erhard Emile
"Erich, Adolf",Erich,Adolf,,,Erich Adolf
"Erich, Lola",Erich,Lola,,,Erich Lola
"Erichson, Amalie",Erichson,Amalie,,,Erichson Amalie
Erika,Erika,,,,Erika 
"Erkner, Lydia",Erkner,Lydia,,,Erkner Lydia
"Erlburg, L. v",Erlburg,L.,,v,Erlburg L.
"Erlin, Hedwig",Erlin,Hedwig,,,Erlin Hedwig
"Erman, Margarete",Erman,Margarete,,,Erman Margarete
"Ermann, Marie",Ermann,Marie,,,Ermann Marie
"Ernst, Angelica",Ernst,Angelica,,,Ernst Angelica
"Ernst, B",Ernst,B,,,Ernst B
"Ernst, Charlotte",Ernst,Charlotte,,,Ernst Charlotte
"Ernst, Clara",Ernst,Clara,,,Ernst Clara
"Ernst, Clara",Ernst,Clara,,,Ernst Clara
"Ernst, Magd",Ernst,Magd,,,Ernst Magd
"Ernst, Marie",Ernst,Marie,,,Ernst Marie
"Ernst, O",Ernst,O,,,Ernst O
"Ernest, Marie v",Ernest,Marie,,v,Ernest Marie
Ernesta,Ernesta,,,,Ernesta 
"Ernesti, L",Ernesti,L,,,Ernesti L
"Ernesti, L",Ernesti,L,,,Ernesti L
"Ernestine, Frau von Fuerstenwärther",,Ernestine,Frau von Fuerstenwärther,von, Ernestine
"Eryc, A",Eryc,A,,,Eryc A
"Esche, Luise",Esche,Luise,,,Esche Luise
"Eschen, Mathilde v",Eschen,Mathilde,,v,Eschen Mathilde
"Eschenbach, Marie v",Eschenbach,Marie,,v,Eschenbach Marie
"Eschenbach, Olga v",Eschenbach,Olga,,v,Eschenbach Olga
"Escher, Mathilde",Escher,Mathilde,,,Escher Mathilde
"Escher, Nanny v",Escher,Nanny,,v,Escher Nanny
"Escherich, Frau E",Escherich,E,Frau,,Escherich E
"Escherich, Frl. Mela",Escherich,Mela,Frl.,,Escherich Mela
"Eschner, Adele",Eschner,Adele,,,Eschner Adele
"Eschricht, E",Eschricht,E,,,Eschricht E
"Eschstruth, Frl. Mathilde v",Eschstruth,Mathilde,Frl.,v,Eschstruth Mathilde
"Eschstruth, Nataly v",Eschstruth,Nataly,,v,Eschstruth Nataly
"Eschstruth, Nataly v",Eschstruth,Nataly,,v,Eschstruth Nataly
"Essenther, Franziska",Essenther,Franziska,,,Essenther Franziska
"Esser, Frau Anna",Esser,Anna,Frau,,Esser Anna
"Esser, Emilie",Esser,Emilie,,,Esser Emilie
"Estl, Math",Estl,Math,,,Estl Math
"Etis, M",Etis,M,,,Etis M
"Ettlinger, Frl. Anna",Ettlinger,Anna,Frl.,,Ettlinger Anna
"Ettlinger, Frl. Emma",Ettlinger,Emma,Frl.,,Ettlinger Emma
"Ettlinger, Frl. Rudolfine",Ettlinger,Rudolfine,Frl.,,Ettlinger Rudolfine
"Ettlinger, R. und E",Ettlinger,E R. und,,,Ettlinger E R. und
"Eulenburg, Olga zu u. Louise Preusser",Eulenburg,Olga u. zu Preusser Louise,,,Eulenburg Olga u. zu Preusser Louise
Euphemia von Baden,Euphemia von Baden,,,,Euphemia von Baden 
"Ewald, Marie",Ewald,Marie,,,Ewald Marie
"Ewart, Felicie",Ewart,Felicie,,,Ewart Felicie
"Exel, Therese",Exel,Therese,,,Exel Therese
"Exner, Frl. Martha",Exner,Martha,Frl.,,Exner Martha
"Eylenfeldt, Louise",Eylenfeldt,Louise,,,Eylenfeldt Louise
"Eyler, Emilie",Eyler,Emilie,,,Eyler Emilie
"Eynatten, Freifrl. Marie Carola v",Eynatten,Marie Carola,Freifrl.,v,Eynatten Marie Carola
"Eysell, Frau Dr. Clara",Eysell,Clara,Dr. Frau,,Eysell Clara
"Faber, Helene",Faber,Helene,,,Faber Helene
"Fabri de Fabris, R",Fabri de Fabris,R,,,Fabri de Fabris R
"Fabricius, Cäcilie",Fabricius,Cäcilie,,,Fabricius Cäcilie
"Fahlweid-Felber, Frau Aline",Fahlweid-Felber,Aline,Frau,,Fahlweid-Felber Aline
"Fahrig, Klara",Fahrig,Klara,,,Fahrig Klara
"Fahrow, E",Fahrow,E,,,Fahrow E
"Fahrow, E",Fahrow,E,,,Fahrow E
"Falk, C",Falk,C,,,Falk C
"Falke von Lilienstein, Freiin Amalie",Falke von Lilienstein,Amalie,Freiin,,Falke von Lilienstein Amalie
"Falkenstein, Catharina Freiin v",Falkenstein,Catharina,Freiin,v,Falkenstein Catharina
"Falkner, Hugo",Falkner,Hugo,,,Falkner Hugo
"Falstein, A. v",Falstein,A.,,v,Falstein A.
